school,sex,paid,famrel,freetime,goout,Dalc,Walc,health,absences,grade
GP,M,no,4,5,5.0,2,5,5,0,4
GP,M,no,2,3,5.0,2,5,4,0,0
GP,M,no,4,4,4.0,3,5,5,6,8
GP,F,yes,4,2,1.0,2,3,3,8,4
GP,M,no,4,5,4.0,1,1,4,0,0
GP,F,no,4,2,1.0,1,1,4,0,6
GP,M,yes,4,4,4.0,1,1,1,2,2
GP,M,no,2,2,2.0,3,3,5,8,7
GP,F,no,5,2,5.0,1,5,4,6,4
GP,M,no,4,2,2.0,1,2,3,2,9
GP,M,yes,4,5,5.0,4,4,5,4,6
GP,M,no,3,3,2.0,2,2,5,0,0
GP,M,no,4,4,4.0,2,4,5,0,0
GP,M,no,5,3,3.0,1,4,2,2,4
GP,M,no,4,5,2.0,1,1,2,16,6
GP,M,no,4,3,5.0,2,4,4,4,4
GP,F,yes,4,2,3.0,1,1,3,0,10
GP,F,yes,5,1,5.0,1,1,4,0,0
GP,F,yes,4,4,2.0,1,1,3,0,8
GP,M,no,3,4,5.0,2,4,2,0,0
GP,M,yes,4,3,2.0,1,1,3,2,10
GP,M,yes,4,4,4.0,1,3,5,0,4
GP,F,no,4,3,,1,1,3,0,0
GP,F,yes,4,4,5.0,1,1,4,4,3
GP,M,yes,4,4,4.0,4,4,4,4,3
GP,F,yes,3,4,4.0,1,4,5,2,5
GP,M,no,4,3,4.0,1,4,4,4,1
GP,M,no,4,3,3.0,3,4,3,10,3
GP,M,no,5,2,3.0,1,1,2,4,5
GP,M,yes,3,4,3.0,2,3,3,10,2
GP,M,yes,4,2,3.0,1,2,3,2,6
GP,F,no,5,3,3.0,2,3,1,56,2
GP,F,yes,1,2,2.0,1,2,1,14,6
GP,M,no,4,3,4.0,2,3,4,12,5
GP,M,yes,3,3,,1,2,3,2,5
GP,M,yes,4,2,3.0,1,2,5,0,9
GP,F,no,3,3,3.0,1,3,3,6,3
GP,M,no,3,1,3.0,1,5,3,4,4
GP,F,no,4,3,3.0,1,1,2,10,7
GP,F,no,5,3,3.0,1,1,3,0,3
GP,M,yes,4,4,4.0,4,5,5,12,2
GP,M,no,4,3,2.0,3,4,5,8,4
GP,M,no,5,3,3.0,1,1,3,0,8
GP,F,no,4,3,2.0,1,1,5,0,9
GP,M,no,5,2,3.0,1,2,5,4,10
GP,M,yes,3,3,4.0,3,5,3,8,4
GP,F,no,4,2,4.0,2,3,2,24,11
GP,F,yes,4,5,2.0,1,2,3,0,4
GP,F,no,4,3,5.0,1,5,2,2,10
GP,F,yes,4,4,3.0,1,3,4,6,4
GP,F,yes,4,4,4.0,1,3,1,4,4
GP,F,no,5,3,2.0,1,2,3,18,1
GP,F,yes,5,3,5.0,1,1,5,6,5
GP,F,yes,4,4,3.0,3,4,5,28,3
GP,F,yes,1,3,2.0,1,1,1,10,7
GP,F,yes,4,3,2.0,1,4,5,6,4
GP,F,yes,4,3,3.0,1,2,3,10,2
GP,M,yes,5,3,5.0,4,5,3,13,7
GP,F,yes,3,3,4.0,1,1,4,0,8
GP,M,yes,4,4,4.0,2,4,5,15,2
GP,F,yes,5,2,,1,2,3,12,4
GP,F,yes,4,4,4.0,1,3,1,2,9
GP,M,yes,3,2,4.0,2,4,4,13,2
GP,F,yes,3,3,3.0,1,4,3,3,2
GP,F,yes,4,3,3.0,1,1,4,4,4
GP,F,no,4,2,5.0,1,2,5,2,1
GP,F,no,4,3,4.0,1,1,5,0,0
GP,M,yes,3,3,3.0,5,5,4,0,7
GP,F,no,5,3,2.0,1,1,5,0,8
GP,F,no,5,3,4.0,1,3,3,10,9
GP,M,yes,5,3,3.0,1,3,3,2,6
GP,M,yes,4,3,2.0,4,5,3,14,3
GP,F,no,3,2,3.0,1,2,3,10,6
GP,F,no,3,2,3.0,1,2,3,14,8
GP,M,yes,4,5,2.0,1,1,1,4,5
GP,M,no,4,5,5.0,1,3,2,14,3
GP,M,yes,4,2,4.0,2,4,1,2,7
GP,M,yes,3,4,2.0,1,1,5,18,1
GP,M,no,5,3,3.0,1,3,2,10,4
GP,M,yes,4,4,2.0,5,5,4,4,7
GP,F,no,4,5,2.0,1,1,5,20,6
GP,F,no,2,1,1.0,1,1,3,2,5
GP,M,no,5,5,4.0,3,5,2,0,0
GP,M,no,2,5,5.0,1,4,5,14,6
GP,M,yes,3,3,3.0,2,3,4,2,6
GP,M,no,5,4,5.0,1,1,3,0,0
GP,M,no,5,3,2.0,1,2,5,0,6
GP,F,yes,4,4,4.0,1,1,3,0,0
GP,M,no,4,3,3.0,1,1,4,6,11
GP,M,no,5,2,2.0,1,1,2,4,7
GP,M,no,5,4,5.0,5,5,1,16,2
GP,M,yes,4,3,2.0,2,4,5,0,9
GP,M,no,4,4,5.0,2,4,5,0,2
GP,M,no,5,3,3.0,1,3,2,6,4
GP,M,no,3,2,5.0,2,5,5,4,2
GP,M,no,3,3,2.0,1,3,3,0,2
GP,M,no,4,4,2.0,2,4,5,0,6
GP,M,no,4,4,4.0,1,2,5,2,2
GP,F,yes,4,2,3.0,1,1,4,6,7
GP,M,no,4,3,1.0,1,1,1,12,5
GP,M,no,5,2,4.0,1,2,4,8,8
GP,F,yes,3,4,1.0,1,1,2,0,0
GP,F,yes,3,1,2.0,1,3,2,21,11
GP,M,yes,4,3,2.0,1,1,3,2,2
GP,M,no,5,3,2.0,1,1,3,1,6
GP,F,no,3,2,3.0,1,1,4,4,3
GP,F,yes,4,3,3.0,1,1,3,0,0
GP,M,yes,5,4,4.0,3,4,5,2,4
GP,F,yes,4,3,4.0,2,2,4,8,5
GP,M,yes,5,4,5.0,1,3,5,10,4
GP,F,no,4,3,,1,2,3,0,0
GP,F,yes,4,3,5.0,3,3,5,15,3
GP,F,yes,4,5,5.0,1,3,2,4,8
GP,F,yes,4,4,3.0,1,1,3,2,5
GP,M,yes,3,5,2.0,2,2,1,2,8
GP,F,yes,4,3,3.0,1,1,1,2,4
GP,F,yes,4,4,4.0,2,3,5,6,6
GP,F,no,4,1,1.0,1,1,5,75,3
GP,M,yes,3,2,4.0,1,4,3,22,3
GP,F,no,2,4,4.0,1,1,4,15,2
GP,M,yes,4,2,3.0,1,2,1,8,4
GP,M,yes,4,5,4.0,2,4,5,30,2
GP,M,no,4,4,4.0,3,4,3,19,4
GP,F,yes,5,2,2.0,1,1,3,1,6
GP,F,no,5,4,4.0,1,1,4,4,4
GP,F,no,5,4,5.0,1,2,5,4,5
GP,M,yes,4,3,3.0,1,2,4,2,5
GP,F,yes,4,3,3.0,1,1,3,6,6
GP,M,yes,4,2,4.0,1,3,2,6,8
GP,M,yes,5,4,3.0,1,1,2,9,9
GP,M,yes,4,3,2.0,1,4,5,11,5
GP,F,yes,4,2,2.0,1,2,3,0,9
GP,F,no,5,4,3.0,1,1,5,12,7
GP,F,yes,3,1,2.0,1,1,3,6,11
GP,M,yes,5,4,2.0,1,1,4,8,8
GP,M,yes,4,4,3.0,1,3,5,4,5
GP,F,yes,2,3,4.0,2,3,2,0,0
GP,F,yes,4,4,5.0,1,2,2,10,2
GP,F,yes,4,3,3.0,1,1,3,0,8
GP,M,yes,1,4,2.0,2,2,1,5,10
GP,F,no,4,2,4.0,1,1,4,14,5
GP,M,yes,4,1,1.0,2,2,5,0,4
GP,F,yes,4,3,,1,1,3,0,8
GP,F,yes,5,2,2.0,1,2,5,0,11
GP,M,no,4,4,4.0,1,1,3,20,7
GP,F,yes,4,4,3.0,1,1,3,8,6
GP,M,no,5,5,3.0,1,1,5,0,11
GP,M,yes,4,3,4.0,1,1,4,38,2
GP,M,no,4,5,3.0,1,2,5,0,6
GP,F,no,4,4,3.0,1,3,3,18,4
GP,F,no,4,2,4.0,2,2,3,0,0
GP,F,no,3,4,1.0,1,1,2,20,7
GP,M,no,4,5,2.0,2,2,4,3,5
GP,F,yes,4,2,2.0,1,2,1,22,5
GP,F,no,4,1,2.0,1,1,3,14,7
GP,F,no,4,1,2.0,1,1,3,40,5
GP,F,yes,5,3,3.0,1,2,1,0,0
GP,F,yes,4,3,4.0,1,1,5,9,3
GP,F,yes,4,3,4.0,2,5,5,0,4
GP,F,yes,4,4,4.0,3,3,5,2,5
GP,F,yes,5,2,,1,2,5,23,7
GP,F,no,4,2,2.0,1,1,3,12,3
GP,F,yes,3,3,2.0,2,2,3,3,5
GP,F,no,3,4,3.0,2,3,5,1,9
GP,F,no,3,3,3.0,2,3,2,0,9
GP,M,no,4,3,3.0,2,2,3,3,5
GP,M,no,4,3,5.0,3,5,5,3,10
GP,M,no,4,4,5.0,5,5,4,8,4
GP,F,yes,5,4,4.0,1,3,4,7,3
GP,F,yes,4,3,3.0,1,2,4,4,8
GP,M,no,4,5,5.0,2,4,5,2,2
GP,F,no,4,4,3.0,1,1,5,7,8
GP,F,no,5,3,4.0,1,1,4,0,0
GP,F,no,4,3,3.0,1,1,2,0,0
GP,F,no,4,4,4.0,1,1,4,0,0
GP,F,no,4,4,5.0,1,3,5,16,9
GP,F,yes,5,4,3.0,1,2,5,12,7
GP,F,yes,4,3,2.0,2,3,2,0,0
GP,F,yes,4,3,3.0,2,3,2,4,4
GP,F,yes,4,3,4.0,1,3,3,4,5
GP,M,no,4,3,3.0,2,2,2,0,0
GP,M,no,4,3,3.0,1,3,5,11,9
GP,F,no,3,3,1.0,1,2,4,0,0
GP,F,no,4,3,3.0,1,2,3,4,4
GP,F,no,5,4,3.0,2,3,1,7,8
GP,M,no,5,3,2.0,1,2,4,9,10
GP,M,yes,5,4,5.0,2,3,5,0,3
GP,F,yes,4,4,3.0,1,3,4,0,9
MS,M,no,2,5,5.0,5,5,5,10,7
MS,M,no,5,4,4.0,3,3,2,8,2
MS,M,yes,4,5,4.0,2,3,3,2,7
MS,M,no,4,3,3.0,2,3,3,7,2
MS,M,no,4,4,4.0,3,3,5,4,2
MS,M,yes,4,5,5.0,1,3,2,4,5
MS,F,no,5,3,4.0,1,1,5,0,3
MS,F,yes,4,3,3.0,1,2,5,4,7
MS,F,no,1,2,3.0,1,2,5,2,5
MS,M,no,3,3,2.0,1,2,3,4,4
MS,F,no,5,3,2.0,1,1,4,0,10
MS,F,no,4,3,4.0,1,4,5,0,7
MS,M,no,4,4,3.0,2,3,5,2,6
MS,F,no,4,3,2.0,1,3,3,0,4
MS,F,yes,2,3,4.0,1,1,1,0,9
MS,F,no,3,2,2.0,1,2,3,0,6
MS,M,yes,3,3,4.0,2,4,3,4,4
MS,M,yes,4,2,2.0,2,2,5,0,7
MS,F,yes,5,2,1.0,1,2,1,0,0
MS,F,yes,5,2,3.0,1,2,4,0,4
MS,F,yes,3,2,2.0,4,2,5,10,5
MS,F,no,3,2,2.0,1,1,3,4,3
MS,M,yes,4,3,3.0,2,3,3,3,6
MS,F,no,3,4,3.0,1,1,3,8,5
MS,F,no,4,3,2.0,1,2,4,2,4
MS,F,yes,5,4,3.0,1,1,3,4,9
MS,F,yes,5,4,3.0,3,4,2,4,4
MS,F,yes,4,1,3.0,1,2,1,0,9
MS,F,yes,4,5,4.0,2,3,1,17,4
MS,M,yes,3,2,4.0,1,4,2,4,8
MS,M,no,4,4,3.0,1,1,3,2,4
MS,M,no,4,3,2.0,1,3,5,0,0
MS,F,yes,5,3,3.0,1,3,4,2,4
MS,F,yes,4,4,3.0,2,2,5,7,1
MS,F,no,5,4,2.0,1,2,5,0,0
MS,F,yes,4,3,4.0,1,1,1,0,2
MS,F,no,1,1,1.0,1,1,5,0,0
MS,M,yes,5,5,4.0,4,5,4,11,3
MS,M,no,2,4,5.0,3,4,2,3,10
MS,M,no,4,4,1.0,3,4,5,0,4
MS,M,no,3,2,3.0,3,3,5,5,3
